model_name,trial_id,split,rows,mae_mm_day,rmse_mm_day,r2,bias_mm_day,smape_pct,wet_day_accuracy
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_01,train,17532,4.3376972763276065,10.026667035626735,0.2581921277128617,-2.279155268951267,101.17745818321391,0.8487337440109514
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_01,validation,4392,4.372699592962052,10.583315588176765,0.22524532083899207,-2.092479965933813,104.73872298153178,0.8581511839708561
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_01,test,4380,5.1319370007518,12.809286675597583,0.1998076044272067,-2.9273053715812147,101.49523654982642,0.8452054794520548
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_02,train,17532,4.225618315022248,9.815799915907041,0.2890654085243164,-2.256083380451773,100.6328347615428,0.8539812913529546
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_02,validation,4392,4.38612874967519,10.575959381666996,0.22632197298256684,-2.0989319588388886,105.80441448143709,0.8597449908925319
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_02,test,4380,5.146205798808223,12.80236717216274,0.20067188963837201,-2.9138602896522645,102.32548013262044,0.8424657534246576
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_03,train,17532,4.2895396869303815,9.97138820072905,0.26634902316679854,-2.2924355841837354,101.16913799921478,0.8523271731690623
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_03,validation,4392,4.387002254964636,10.583180688038674,0.22526507152038044,-2.1142632942073516,105.7685324873705,0.8597449908925319
hist_gradient_boosting_log,hist_gradient_boosting_log_trial_03,test,4380,5.143809106720248,12.853127283902367,0.19432081103602072,-2.9373330649716367,102.29934723939553,0.843607305936073
gradient_boosting_log,gradient_boosting_log_trial_01,train,17532,4.479946933707894,10.223911866967578,0.2287193325285054,-2.334900348176915,101.98419848377276,0.8426876568560346
gradient_boosting_log,gradient_boosting_log_trial_01,validation,4392,4.396202446657911,10.596125117937655,0.22336873519857736,-2.1611431317475707,103.22928214547397,0.8567850637522769
gradient_boosting_log,gradient_boosting_log_trial_01,test,4380,5.179602104889662,12.92698579793027,0.18503478466162915,-2.9997476606871407,102.18978161949677,0.8372146118721461
gradient_boosting_log,gradient_boosting_log_trial_02,train,17532,4.434359543287751,10.134531662462306,0.24214587429627432,-2.3156762526954133,101.79348213213666,0.844569929272188
gradient_boosting_log,gradient_boosting_log_trial_02,validation,4392,4.385208961520974,10.58605443745188,0.22484427244522942,-2.1460672834622994,103.73191044189083,0.8583788706739527
gradient_boosting_log,gradient_boosting_log_trial_02,test,4380,5.172136519132687,12.971247043915291,0.1794444437152548,-2.9875380437049763,101.47616363884715,0.8404109589041096
gradient_boosting_log,gradient_boosting_log_trial_03,train,17532,4.428631299754015,10.123194967180057,0.24384042836725084,-2.3062458004301063,102.06280872322053,0.8446269678302533
gradient_boosting_log,gradient_boosting_log_trial_03,validation,4392,4.386401959586221,10.575716704462648,0.22635747838870046,-2.133086208096251,104.19780465369588,0.8558743169398907
gradient_boosting_log,gradient_boosting_log_trial_03,test,4380,5.1795484807348755,13.029830305888844,0.17201580183711318,-3.006750935340362,101.79230992175307,0.8406392694063927
mlp_log,mlp_log_trial_01,train,17532,4.458338991528943,10.154319355848186,0.23918356175706668,-2.1203033497456483,100.46391905293441,0.8431439653205567
mlp_log,mlp_log_trial_01,validation,4392,4.344769714822297,10.463654090436433,0.2426659856322717,-1.9722514982835224,104.05066164221506,0.8563296903460837
mlp_log,mlp_log_trial_01,test,4380,5.0928692570261385,12.359379909288442,0.2550315282594229,-2.745292367572153,100.50112440566315,0.8394977168949772
mlp_log,mlp_log_trial_02,train,17532,4.403629259797678,9.96390011496071,0.26745049040149194,-2.03926145735021,100.0506314062906,0.8469655487109286
mlp_log,mlp_log_trial_02,validation,4392,4.378454203581464,10.49708277159178,0.2378192815633925,-1.9629319002258088,103.80523474396317,0.8529143897996357
mlp_log,mlp_log_trial_02,test,4380,5.072139097442939,12.284738953569656,0.2640024076007046,-2.7377069467206994,99.94641584356494,0.8415525114155251
