split,rows,mean_mm_day,std_mm_day,max_mm_day,wet_day_ratio
test,4380,7.401986301369863,14.321131024320396,259.03,0.6337899543378995
train,17532,6.530662788044718,11.641883804569728,274.47,0.6255989048596852
validation,4392,6.414278233151183,12.025110890997556,206.04,0.5922131147540983
