entity_id,country,location_name,valid_pairs,bias_mm,mae_mm,rmse_mm,smape_pct,pearson_corr,spearman_corr,wet_day_agreement_pct,wet_day_cohen_kappa,wet_day_jaccard,mean_daily_rainfall_mm,mean_abs_diff_relative_to_mean,high_gap_10mm_ratio,high_gap_20mm_ratio
SEA_SG_SINGAPORE,Singapore,Singapore,2192.0,3.895054744525548,10.455164233576642,22.41685159838334,86.79194643413784,0.21460998973664136,0.4378920382351119,84.21532846715328,0.3031884398841636,0.8338136407300673,11.319197080291971,0.9236665956507307,0.26322992700729925,0.11405109489051095
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2192.0,-0.17697992700729917,7.841249999999999,13.90450410142589,90.68938372985998,0.44092464966481704,0.5831337059342803,82.2080291970803,0.36534144226543264,0.806930693069307,10.121774635036497,0.7746912257938288,0.25364963503649635,0.08987226277372262
SEA_PH_MANILA,Philippines,Manila,2192.0,3.8158531021897812,7.1326049270073,14.955302960261678,104.31455220982278,0.5092751858791419,0.5725026633223687,74.17883211678831,0.35963266953574774,0.7017913593256059,8.187078010948905,0.8712027559279856,0.19434306569343066,0.07481751824817519
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,2192.0,-0.33156478102189796,6.86327098540146,10.93990368582418,100.09467697236146,0.42729985262504233,0.47698870443505986,77.1897810218978,0.31355417347788783,0.7476022211004543,8.0970825729927,0.8476226990009756,0.22262773722627738,0.06934306569343066
SEA_MM_YANGON,Myanmar,Yangon,2192.0,-1.8352098540145985,5.875346715328466,12.723628491474084,79.22523346183897,0.4412303643623536,0.8350917435052344,88.32116788321169,0.7667904849693337,0.7882547559966915,6.627285583941606,0.8865389366467501,0.19525547445255476,0.0739051094890511
SEA_ID_JAKARTA,Indonesia,Jakarta,2192.0,-0.09374087591240875,5.425246350364963,9.546456726982319,87.80979007886047,0.3893148624022952,0.6165449951226684,84.30656934306569,0.5292895596328443,0.8190426091530774,6.861797445255474,0.7906450741016195,0.15875912408759124,0.04744525547445255
SEA_TL_DILI,Timor-Leste,Dili,2192.0,-2.427413321167883,5.195871350364963,9.666030450107673,124.66573960775811,0.44583709986633113,0.6052705854111138,65.83029197080292,0.3629074066600648,0.4607631389488841,4.537890054744525,1.1449971873574807,0.17746350364963503,0.058394160583941604
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,2192.0,-0.9585310218978104,5.0153010948905115,11.403941832753164,101.04957919179485,0.3046767955336531,0.6982358769385633,78.01094890510949,0.5595031619393228,0.6571834992887624,5.019457116788321,0.9991720174512336,0.15967153284671534,0.05155109489051095
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2192.0,-1.7447171532846715,4.910593065693431,9.222811804053723,96.3303749267202,0.43890604316233267,0.7723729011730729,82.75547445255475,0.651099745580932,0.7371349095966621,5.662267335766423,0.8672485373143377,0.1646897810218978,0.04151459854014598
SEA_VN_HANOI,Vietnam,Hanoi,2192.0,-0.8452463503649637,4.749844890510949,11.703549117791352,108.2441462576629,0.5611906740028737,0.7552594134792899,79.83576642335767,0.5963039753598358,0.6552262090483619,5.674274635036497,0.8370840671590641,0.13822992700729927,0.05930656934306569
SEA_LA_VIENTIANE,Laos,Vientiane,2192.0,-2.0087545620437957,3.8773950729927007,7.977441629644153,79.1865547302122,0.6519490173193138,0.8485452297142848,86.95255474452554,0.7374456704283796,0.7513043478260869,4.911453010948905,0.7894598733937839,0.1322992700729927,0.0406021897810219
SEA_TH_BANGKOK,Thailand,Bangkok,2192.0,-0.40928375912408765,3.252276459854015,6.125924125875654,83.82563086513308,0.6305115275968125,0.8014803645431997,83.21167883211679,0.6634670582738135,0.7245508982035929,4.416526003649635,0.7363879339621412,0.08987226277372262,0.018704379562043797
