entity_id,country,location_name,month,valid_pairs,bias_mm,mae_mm,rmse_mm,smape_pct,pearson_corr,spearman_corr,wet_day_agreement_pct,wet_day_cohen_kappa,wet_day_jaccard,mean_daily_rainfall_mm,mean_abs_diff_relative_to_mean,high_gap_10mm_ratio,high_gap_20mm_ratio,month_name
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,1,186.0,-0.17118279569892453,7.545806451612903,12.183355118171837,73.30870808560856,0.49044694424998847,0.636054303426152,89.24731182795699,0.4139886578449905,0.8870056497175142,11.18483870967742,0.6746459780782914,0.24731182795698925,0.0967741935483871,Jan
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2,170.0,-0.42200000000000004,5.779647058823531,12.905332140129474,93.57675794099889,0.35525542190160486,0.6636176380091977,78.82352941176471,0.450529718082241,0.75,7.231941176470587,0.7991833612846109,0.17058823529411765,0.047058823529411764,Feb
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,3,186.0,-1.0939784946236564,7.240967741935485,13.692139060169186,98.47145615064665,0.3850815338736853,0.5206745190413515,76.34408602150538,0.3009907755380936,0.7396449704142012,8.165913978494624,0.8867308374932964,0.23118279569892472,0.08602150537634409,Mar
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4,180.0,-1.922777777777778,5.993333333333334,10.865147081890383,88.08152747704054,0.5174788341898386,0.5652076193120635,75.55555555555556,0.12078152753108365,0.7441860465116279,7.826944444444444,0.765730915187684,0.15555555555555556,0.05,Apr
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,5,186.0,-1.7843010752688169,7.803978494623656,11.448777415124955,90.43066710254062,0.5862689047816817,0.6298761902204881,85.48387096774194,0.5300393037619315,0.8353658536585366,10.288494623655913,0.7585150966519216,0.3010752688172043,0.0913978494623656,May
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,6,180.0,-0.1586111111111111,7.162944444444444,11.832151607660656,97.72026819493631,0.3921862763261253,0.5805801152956513,84.44444444444444,0.5112490302560123,0.8238993710691824,8.772916666666667,0.8164838121447212,0.2222222222222222,0.08333333333333333,Jun
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,7,186.0,2.3238709677419354,8.713870967741935,19.477652510295687,107.91538881770887,0.3678414203826872,0.693107545976023,73.11827956989248,0.34992310918495734,0.6932515337423313,9.954408602150538,0.8753780676618018,0.23655913978494625,0.10752688172043011,Jul
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,8,186.0,-0.5460215053763441,9.439032258064515,17.67478442021501,92.15022581323531,0.5137630405600698,0.5911324251579011,83.87096774193549,0.44300259532840885,0.8224852071005917,11.63451612903226,0.8112956441479738,0.3064516129032258,0.11827956989247312,Aug
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,9,180.0,1.328944444444444,7.985499999999999,13.187364259438318,97.1344778438945,0.583039642615604,0.7236938457117347,77.77777777777779,0.3507664562669073,0.7560975609756098,11.41613888888889,0.6994921905752778,0.26666666666666666,0.1,Sep
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,10,186.0,0.3247849462365592,9.991129032258064,16.69678378340204,92.75815526285544,0.3588641738091753,0.4533104644092059,82.25806451612904,0.2494497432134999,0.8146067415730337,11.877983870967743,0.8411468764355969,0.3225806451612903,0.11290322580645161,Oct
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,11,180.0,-0.27177777777777745,8.251333333333335,11.703908558919775,80.59680420209769,0.4055275966722595,0.43856545342017816,90.55555555555556,0.27350427350427353,0.9034090909090909,11.389111111111111,0.7244931805572533,0.2777777777777778,0.08888888888888889,Nov
