entity_id,country,location_name,month,avg_monthly_precip_mm,avg_monthly_nasa_precip_mm,avg_monthly_open_meteo_precip_mm,avg_daily_source_abs_diff_mm,avg_monthly_source_bias_mm,avg_rainy_days,avg_heavy_rain_days,month_name
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,1,346.73,344.07666666666665,349.3833333333334,7.545806451612904,-5.306666666666658,28.166666666666668,5.0,Jan
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2,204.90499999999997,198.92666666666665,210.88333333333335,5.77160303776683,-11.95666666666667,23.166666666666668,2.0,Feb
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,3,253.14333333333335,236.18666666666664,270.09999999999997,7.240967741935484,-33.913333333333334,26.333333333333332,2.5,Mar
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,4,234.80833333333337,205.96666666666667,263.65000000000003,5.993333333333333,-57.683333333333344,26.166666666666668,2.3333333333333335,Apr
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,5,318.9433333333333,291.2866666666667,346.59999999999997,7.803978494623657,-55.313333333333325,26.0,4.5,May
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,6,263.1875,260.80833333333334,265.56666666666666,7.162944444444444,-4.7583333333333355,25.5,2.1666666666666665,Jun
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,7,308.58666666666664,344.6066666666666,272.56666666666666,8.713870967741935,72.04000000000002,25.5,4.166666666666667,Jul
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,8,360.67,352.20666666666665,369.1333333333334,9.439032258064517,-16.92666666666666,27.833333333333332,5.166666666666667,Aug
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,9,342.4841666666667,362.41833333333335,322.55,7.985500000000001,39.868333333333325,25.333333333333332,6.166666666666667,Sep
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,10,368.2175,373.2516666666667,363.18333333333334,9.991129032258065,10.068333333333351,28.833333333333332,4.666666666666667,Oct
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,11,341.67333333333335,337.59666666666664,345.75,8.251333333333333,-8.153333333333336,28.833333333333332,4.333333333333333,Nov
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,12,354.4725,358.1616666666667,350.7833333333333,7.946505376344086,7.37833333333334,30.5,5.166666666666667,Dec
SEA_ID_JAKARTA,Indonesia,Jakarta,1,342.3358333333333,339.705,344.9666666666667,8.31241935483871,-5.261666666666646,30.0,4.833333333333333,Jan
SEA_ID_JAKARTA,Indonesia,Jakarta,2,368.02416666666664,428.9483333333333,307.09999999999997,9.193372331691299,121.84833333333334,28.333333333333332,5.333333333333333,Feb
SEA_ID_JAKARTA,Indonesia,Jakarta,3,289.0683333333333,290.92,287.21666666666664,7.053440860215054,3.703333333333333,30.5,2.6666666666666665,Mar
SEA_ID_JAKARTA,Indonesia,Jakarta,4,212.2275,205.33833333333334,219.11666666666667,5.861722222222222,-13.778333333333336,28.333333333333332,1.0,Apr
SEA_ID_JAKARTA,Indonesia,Jakarta,5,177.75166666666667,160.00333333333333,195.5,5.290430107526881,-35.496666666666655,26.833333333333332,1.0,May
SEA_ID_JAKARTA,Indonesia,Jakarta,6,147.2075,134.115,160.3,4.4215,-26.185000000000002,26.0,0.6666666666666666,Jun
SEA_ID_JAKARTA,Indonesia,Jakarta,7,102.15083333333332,107.96833333333332,96.33333333333333,3.113279569892473,11.635,16.333333333333332,1.0,Jul
SEA_ID_JAKARTA,Indonesia,Jakarta,8,83.49333333333333,72.08666666666666,94.89999999999999,2.159462365591398,-22.813333333333333,14.5,0.3333333333333333,Aug
SEA_ID_JAKARTA,Indonesia,Jakarta,9,117.06916666666666,108.78833333333334,125.35000000000001,3.058611111111111,-16.56166666666667,18.833333333333332,0.3333333333333333,Sep
SEA_ID_JAKARTA,Indonesia,Jakarta,10,173.70666666666668,161.78,185.63333333333333,4.366666666666667,-23.853333333333335,24.833333333333332,0.8333333333333334,Oct
SEA_ID_JAKARTA,Indonesia,Jakarta,11,232.4333333333333,224.13333333333333,240.73333333333332,6.615444444444445,-16.599999999999984,29.0,1.1666666666666667,Nov
SEA_ID_JAKARTA,Indonesia,Jakarta,12,261.375,255.9333333333333,266.81666666666666,5.919569892473118,-10.88333333333334,29.5,0.8333333333333334,Dec
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,1,14.0775,12.738333333333332,15.416666666666666,0.4905913978494623,-2.6783333333333332,3.1666666666666665,0.0,Jan
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,2,20.331666666666667,16.046666666666667,24.616666666666664,0.9168390804597703,-8.57,4.0,0.0,Feb
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,3,39.721666666666664,38.51,40.93333333333334,1.2502150537634409,-2.4233333333333347,6.5,0.16666666666666666,Mar
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,4,88.95166666666667,74.38666666666667,103.51666666666667,3.6020000000000003,-29.129999999999995,15.5,0.16666666666666666,Apr
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,5,176.4416666666667,140.5,212.38333333333333,5.998387096774194,-71.88333333333333,25.5,1.0,May
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,6,220.15833333333333,253.86666666666667,186.45000000000002,9.118222222222222,67.41666666666667,25.333333333333332,2.0,Jun
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,7,230.5375,231.725,229.35,7.318763440860216,2.374999999999995,27.333333333333332,2.1666666666666665,Jul
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,8,234.9941666666667,218.28833333333333,251.70000000000002,7.281881720430107,-33.41166666666667,26.333333333333332,2.5,Aug
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,9,301.9458333333333,254.99166666666667,348.90000000000003,8.308055555555557,-93.90833333333335,28.833333333333332,3.1666666666666665,Sep
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,10,314.9316666666667,266.0133333333333,363.84999999999997,8.977956989247312,-97.83666666666666,27.833333333333332,3.1666666666666665,Oct
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,11,155.82083333333333,119.325,192.3166666666667,5.424388888888888,-72.99166666666666,18.833333333333332,1.6666666666666667,Nov
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,12,35.862500000000004,32.291666666666664,39.43333333333333,1.358225806451613,-7.141666666666667,6.833333333333333,0.0,Dec
SEA_LA_VIENTIANE,Laos,Vientiane,1,6.913333333333333,5.16,8.666666666666666,0.2939784946236559,-3.506666666666666,1.3333333333333333,0.0,Jan
SEA_LA_VIENTIANE,Laos,Vientiane,2,23.0525,26.788333333333338,19.316666666666666,0.45619252873563215,7.471666666666668,2.6666666666666665,0.3333333333333333,Feb
SEA_LA_VIENTIANE,Laos,Vientiane,3,55.49583333333333,57.925000000000004,53.06666666666666,1.605967741935484,4.858333333333332,9.666666666666666,0.0,Mar
SEA_LA_VIENTIANE,Laos,Vientiane,4,73.98833333333333,75.57666666666667,72.39999999999999,2.611222222222222,3.176666666666667,11.166666666666666,0.8333333333333334,Apr
SEA_LA_VIENTIANE,Laos,Vientiane,5,199.56083333333333,172.6883333333333,226.4333333333333,5.920698924731183,-53.745000000000005,24.0,1.8333333333333333,May
SEA_LA_VIENTIANE,Laos,Vientiane,6,259.8966666666667,187.04333333333332,332.75,7.301888888888889,-145.70666666666668,27.0,2.6666666666666665,Jun
SEA_LA_VIENTIANE,Laos,Vientiane,7,305.28833333333336,227.80999999999997,382.76666666666665,7.671397849462365,-154.95666666666668,27.833333333333332,3.1666666666666665,Jul
SEA_LA_VIENTIANE,Laos,Vientiane,8,335.67333333333335,260.83,410.51666666666665,6.966451612903225,-149.68666666666667,27.666666666666668,4.0,Aug
SEA_LA_VIENTIANE,Laos,Vientiane,9,370.4116666666667,287.5566666666667,453.26666666666665,8.389000000000001,-165.71,28.166666666666668,5.333333333333333,Sep
SEA_LA_VIENTIANE,Laos,Vientiane,10,138.42,110.07333333333334,166.76666666666668,4.051827956989247,-56.693333333333335,16.166666666666668,1.1666666666666667,Oct
SEA_LA_VIENTIANE,Laos,Vientiane,11,22.629166666666674,13.208333333333334,32.050000000000004,1.0429444444444445,-18.841666666666665,4.166666666666667,0.0,Nov
SEA_LA_VIENTIANE,Laos,Vientiane,12,2.9875000000000003,2.7249999999999996,3.25,0.05102150537634409,-0.5250000000000001,0.3333333333333333,0.0,Dec
SEA_MM_YANGON,Myanmar,Yangon,1,7.265,5.996666666666667,8.533333333333333,0.24580645161290324,-2.5366666666666657,1.8333333333333333,0.0,Jan
SEA_MM_YANGON,Myanmar,Yangon,2,10.565833333333332,13.648333333333333,7.483333333333334,0.33798645320197035,6.164999999999999,2.0,0.0,Feb
SEA_MM_YANGON,Myanmar,Yangon,3,9.35,7.033333333333334,11.666666666666666,0.43774193548387097,-4.633333333333333,1.0,0.0,Mar
SEA_MM_YANGON,Myanmar,Yangon,4,74.69166666666666,95.10000000000001,54.28333333333333,2.1216666666666666,40.81666666666667,8.833333333333334,0.6666666666666666,Apr
SEA_MM_YANGON,Myanmar,Yangon,5,247.63666666666666,252.29,242.98333333333335,7.575161290322581,9.306666666666667,21.333333333333332,2.8333333333333335,May
SEA_MM_YANGON,Myanmar,Yangon,6,362.1758333333333,277.11833333333334,447.23333333333335,9.172611111111111,-170.11499999999998,29.5,3.5,Jun
SEA_MM_YANGON,Myanmar,Yangon,7,476.4925,430.18499999999995,522.8000000000001,13.660161290322582,-92.61500000000002,30.666666666666668,7.5,Jul
SEA_MM_YANGON,Myanmar,Yangon,8,442.7666666666667,371.1166666666666,514.4166666666666,12.926559139784947,-143.29999999999998,30.666666666666668,6.5,Aug
SEA_MM_YANGON,Myanmar,Yangon,9,463.01500000000004,402.58,523.4499999999999,12.797666666666666,-120.87,29.666666666666668,7.166666666666667,Sep
SEA_MM_YANGON,Myanmar,Yangon,10,242.19583333333333,167.39166666666668,317.0,7.812849462365591,-149.60833333333332,25.333333333333332,3.3333333333333335,Oct
SEA_MM_YANGON,Myanmar,Yangon,11,78.86833333333334,59.669999999999995,98.06666666666666,2.749,-38.39666666666667,10.333333333333334,0.8333333333333334,Nov
SEA_MM_YANGON,Myanmar,Yangon,12,6.145,3.8066666666666666,8.483333333333333,0.30193548387096775,-4.676666666666667,0.8333333333333334,0.0,Dec
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,1,236.1833333333333,237.79999999999998,234.5666666666667,5.845698924731184,3.233333333333332,24.166666666666668,3.6666666666666665,Jan
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,2,154.04583333333332,157.225,150.86666666666667,5.369096880131363,6.35833333333333,20.333333333333332,1.3333333333333333,Feb
