entity_id,country,location_name,year,annual_rainfall_mm,wet_days,heavy_rain_days,mean_source_abs_diff_mm
SEA_TL_DILI,Timor-Leste,Dili,2022,1760.925,226,15,5.39931506849315
SEA_TL_DILI,Timor-Leste,Dili,2023,1210.275,181,9,4.050164383561643
SEA_TL_DILI,Timor-Leste,Dili,2024,1626.945,192,22,5.11363387978142
SEA_TL_DILI,Timor-Leste,Dili,2025,1939.35,222,16,5.51413698630137
SEA_VN_HANOI,Vietnam,Hanoi,2020,2083.005,211,27,4.887622950819672
SEA_VN_HANOI,Vietnam,Hanoi,2021,1854.51,193,25,4.125972602739726
SEA_VN_HANOI,Vietnam,Hanoi,2022,2176.645,197,32,5.435041095890411
SEA_VN_HANOI,Vietnam,Hanoi,2023,1618.495,162,21,3.9177260273972605
SEA_VN_HANOI,Vietnam,Hanoi,2024,2348.785,188,31,5.43379781420765
SEA_VN_HANOI,Vietnam,Hanoi,2025,2356.57,190,33,4.696657534246575
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2020,2082.19,210,24,4.927978142076503
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2021,2090.62,232,19,4.731890410958904
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2022,2211.92,253,17,5.063013698630137
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2023,1999.575,221,16,4.80358904109589
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2024,1860.425,198,10,4.031502732240437
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,2025,2166.96,231,16,5.907945205479452
