entity_id,country,location_name,year_month,year,month,monthly_precip_mm,monthly_nasa_precip_mm,monthly_open_meteo_precip_mm,mean_daily_source_abs_diff_mm,rainy_days,heavy_rain_days,monthly_source_bias_mm
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-01-01,2020,1,185.085,121.37,248.79999999999998,4.870645161290323,23,2,-127.42999999999998
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-02-01,2020,2,166.875,232.15,101.60000000000001,8.442413793103448,17,2,130.55
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-03-01,2020,3,300.39,366.88,233.9,9.53741935483871,25,4,132.98
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-04-01,2020,4,266.79,207.48,326.1,6.961333333333333,29,2,-118.62000000000003
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-05-01,2020,5,259.565,244.23,274.9,7.422258064516128,28,1,-30.669999999999987
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-06-01,2020,6,377.41,414.52,340.3,10.235999999999999,28,6,74.21999999999997
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-07-01,2020,7,619.25,659.6,578.9,20.101935483870967,31,10,80.70000000000005
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-08-01,2020,8,231.01500000000001,258.83,203.2,5.440967741935484,25,2,55.629999999999995
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-09-01,2020,9,443.05,381.9,504.2,10.132000000000001,25,6,-122.30000000000001
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-10-01,2020,10,344.135,422.47,265.8,8.118387096774192,29,5,156.67000000000002
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-11-01,2020,11,371.835,390.37,353.3,5.285666666666668,29,6,37.06999999999999
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2020-12-01,2020,12,323.985,359.87,288.1,7.418387096774193,31,4,71.76999999999998
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,2021-01-01,2021,1,441.115,510.83,371.4,8.350000000000001,30,6,139.43
