entity_id,date,rainfall_mm,source_bias_mm,source_abs_diff_mm,wet_day,heavy_rain_day,rainfall_lag_1d,rainfall_rolling_30d_sum,rainfall_anomaly_mm,rainfall_zscore_city_month,wet_spell_days,dry_spell_days,month_sin,month_cos
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-01,1.695,1.19,1.19,True,False,,,-9.48983870967742,-0.9093344382739262,1,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-02,1.285,-0.22999999999999998,0.22999999999999998,True,False,1.695,,-9.89983870967742,-0.9486214199706872,2,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-03,3.37,2.94,2.94,True,False,1.285,,-7.81483870967742,-0.7488327447566714,3,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-04,1.635,2.27,2.27,True,False,3.37,,-9.54983870967742,-0.9150837526685742,4,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-05,4.53,-8.139999999999999,8.139999999999999,True,False,1.635,,-6.65483870967742,-0.6376793331268114,5,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-06,0.6399999999999999,-0.12,0.12,False,False,4.53,,-10.54483870967742,-1.0104265497131524,0,1,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-07,1.19,-1.42,1.42,True,False,0.6399999999999999,,-9.99483870967742,-0.9577245010955464,1,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-08,39.31,-73.98,73.98,True,True,1.19,,28.12516129032258,2.6950065776374417,2,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-09,0.73,-0.54,0.54,False,False,39.31,,-10.45483870967742,-1.0018025781211806,0,1,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-10,8.344999999999999,0.2900000000000009,0.2900000000000009,True,False,0.73,62.730000000000004,-2.839838709677421,-0.27211875953378023,1,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-11,19.115,-9.569999999999999,9.569999999999999,True,False,8.344999999999999,81.845,7.930161290322578,0.759883174305524,2,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-12,22.125,-7.350000000000001,7.350000000000001,True,True,19.115,103.97,10.94016129032258,1.0483071131036956,3,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-13,3.64,0.8799999999999999,0.8799999999999999,True,False,22.125,107.61,-7.544838709677419,-0.7229608299807556,4,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-14,9.885,-3.830000000000001,3.830000000000001,True,False,3.64,117.495,-1.2998387096774202,-0.12455302340448317,5,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-15,5.565,0.5300000000000002,0.5300000000000002,True,False,9.885,123.06,-5.61983870967742,-0.5385036598191344,6,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-16,12.66,-14.479999999999999,14.479999999999999,True,False,5.565,135.72,1.4751612903225801,0.14135276734798385,7,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-17,12.36,2.7200000000000006,2.7200000000000006,True,False,12.66,148.07999999999998,1.1751612903225794,0.11260619537474412,8,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-18,4.695,0.1900000000000004,0.1900000000000004,True,False,12.36,152.775,-6.48983870967742,-0.6218687185415295,9,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-19,5.725,-7.55,7.55,True,False,4.695,158.5,-5.45983870967742,-0.5231721547667401,10,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-20,0.52,0.24,0.24,False,False,5.725,159.02,-10.66483870967742,-1.0219251785024484,0,1,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-21,0.5,-0.6000000000000001,0.6000000000000001,False,False,0.52,159.52,-10.68483870967742,-1.0238416166339976,0,2,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-22,0.32,-0.36,0.36,False,False,0.5,159.84,-10.86483870967742,-1.0410895598179415,0,3,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-23,0.255,-0.49,0.49,False,False,0.32,160.095,-10.92983870967742,-1.0473179837454767,0,4,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-24,0.12,-0.16,0.16,False,False,0.255,160.215,-11.06483870967742,-1.0602539411334346,0,5,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-25,2.095,-0.6099999999999999,0.6099999999999999,True,False,0.12,162.31,-9.08983870967742,-0.87100567564294,1,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-26,7.965,0.5300000000000002,0.5300000000000002,True,False,2.095,170.275,-3.21983870967742,-0.3085310840332171,2,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-27,7.265,-3.67,3.67,True,False,7.965,177.54,-3.9198387096774203,-0.375606418637443,3,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-28,2.545,-1.11,1.11,True,False,7.265,180.085,-8.63983870967742,-0.8278858176830806,4,0,0.49999999999999994,0.8660254037844387
SEA_BN_BANDAR_SERI_BEGAWAN,2020-01-29,2.885,-2.03,2.03,True,False,2.545,182.97,-8.29983870967742,-0.7953063694467423,5,0,0.49999999999999994,0.8660254037844387
