location_name,month_name,avg_monthly_precip_mm
Bandar Seri Begawan,Oct,368.2175
Bangkok,Sep,330.87666666666667
Dili,Feb,281.7
Hanoi,Sep,382.5641666666667
Ho Chi Minh City,Oct,327.10083333333336
Jakarta,Feb,368.02416666666664
Kuala Lumpur,Dec,381.815
Manila,Jul,423.85833333333335
Phnom Penh,Oct,314.9316666666667
Singapore,Dec,451.2908333333333
Vientiane,Sep,370.4116666666667
Yangon,Jul,476.4925
