feature,rainfall_mm,source_abs_diff_mm,source_relative_abs_diff,nasa_power_temp_mean_c,open_meteo_temp_mean_c,nasa_power_relative_humidity_pct,open_meteo_relative_humidity_pct,nasa_power_wind_speed_ms,open_meteo_wind_speed_ms,rainfall_lag_1d,rainfall_lag_7d,rainfall_rolling_7d_mean,rainfall_rolling_30d_sum,rainfall_anomaly_mm,wet_spell_days,dry_spell_days,month_sin,month_cos
rainfall_mm,1.0,0.76728019187384,0.2739759520255141,0.016220139709707374,-0.11097232286659842,0.398224829960653,0.5019556420475468,0.019168914373136177,0.0032970021481282426,0.5250478429279083,0.21170254384017537,0.6003651615536033,0.4583289419828617,0.9009659111892035,0.2854346396481208,-0.23154195975164898,-0.15985291354178802,-0.07538413492302606
source_abs_diff_mm,0.76728019187384,1.0,0.5707067095510047,0.021342324558769034,-0.04728769419530561,0.26947331353707665,0.32605955179588125,0.010001604811982229,-0.02391821515988911,0.38637598008311796,0.15474953726426555,0.44060370839021384,0.33752307755316024,0.7095149973082321,0.17806667548645097,-0.17575991583415482,-0.09272621269461388,-0.051852610209516474
source_relative_abs_diff,0.2739759520255141,0.5707067095510047,1.0,0.10083197228422362,0.08288657751505168,0.29901198715565197,0.3700737506210969,-0.055864327709054105,-0.12221218021391816,0.21025732866552865,0.15309002765008325,0.2741547626068133,0.2949511507623964,0.15364926528748393,0.1573468453911204,-0.3248100891914006,-0.0937556890198148,-0.11747946678013674
nasa_power_temp_mean_c,0.016220139709707374,0.021342324558769034,0.10083197228422362,1.0,0.8703696173305208,-0.33540113464530935,0.06686283875155569,0.05745793174886756,-0.03923177181278237,-2.5078185143480018e-05,0.04338216183584735,0.041160978793784476,0.039852776270120606,-0.06338867992743166,0.039375333200426584,-0.07945325525501779,0.06351588470497403,-0.38470035708505484
open_meteo_temp_mean_c,-0.11097232286659842,-0.04728769419530561,0.08288657751505168,0.8703696173305208,1.0,-0.22161008158383785,-0.12432226093455989,-0.0338893015936143,-0.0017086719003406349,-0.0934240281633652,0.015822525449203418,-0.055652628838552584,-0.01013719314647109,-0.17627626992352002,-0.05054128776029472,-0.07982744654471552,0.018225517457653276,-0.36110528208793535
nasa_power_relative_humidity_pct,0.398224829960653,0.26947331353707665,0.29901198715565197,-0.33540113464530935,-0.22161008158383785,1.0,0.6978444468213008,-0.14248255008744928,-0.06352187164222817,0.37639804135969673,0.3106359087888083,0.5155349805451066,0.6246481702816101,0.15444312946274316,0.32488069817275117,-0.5070760951358125,-0.3787375708483838,-0.00910180313799894
open_meteo_relative_humidity_pct,0.5019556420475468,0.32605955179588125,0.3700737506210969,0.06686283875155569,-0.12432226093455989,0.6978444468213008,1.0,-0.14579292498025404,-0.24475386074332992,0.45226499637436307,0.3361121440540371,0.6044855546572024,0.6520681699895021,0.2290340072728803,0.39607061979707164,-0.504024017360907,-0.25628674387177863,-0.1379501253801049
nasa_power_wind_speed_ms,0.019168914373136177,0.010001604811982229,-0.055864327709054105,0.05745793174886756,-0.0338893015936143,-0.14248255008744928,-0.14579292498025404,1.0,0.47529959127807436,0.01799736331699169,-0.04791405118988481,-0.03549923884224682,-0.10375298660757849,0.07139427814362065,0.01080457119154559,0.05766153652603612,0.08104538131407664,-0.03209971422723458
open_meteo_wind_speed_ms,0.0032970021481282426,-0.02391821515988911,-0.12221218021391816,-0.03923177181278237,-0.0017086719003406349,-0.06352187164222817,-0.24475386074332992,0.47529959127807436,1.0,-0.01085265965383093,-0.042105538618884476,-0.04973925297388632,-0.09828229895001406,0.045996106058990946,-0.04048047854934046,0.10135933143971901,0.08381884022735074,-0.026666292675018886
rainfall_lag_1d,0.5250478429279083,0.38637598008311796,0.21025732866552865,-2.5078185143480018e-05,-0.0934240281633652,0.37639804135969673,0.45226499637436307,0.01799736331699169,-0.01085265965383093,1.0,0.21036938242014583,0.6683103083012737,0.48219033804911204,0.374130400024003,0.29795154078047786,-0.2293317535922068,-0.16108152954774035,-0.07274141199094203
