entity_id,country,location_name,nasa_mean_daily_precip_mm,open_meteo_mean_daily_precip_mm,mean_abs_diff_mm,median_abs_diff_mm,p95_abs_diff_mm,mean_bias_nasa_minus_open_meteo_mm
SEA_SG_SINGAPORE,Singapore,Singapore,13.266724452554744,9.371669708029197,10.455164233576642,4.540000000000001,43.26249999999998,3.895054744525547
SEA_BN_BANDAR_SERI_BEGAWAN,Brunei,Bandar Seri Begawan,10.033284671532847,10.210264598540146,7.8412500000000005,4.180000000000001,26.662499999999994,-0.17697992700729928
SEA_PH_MANILA,Philippines,Manila,10.095004562043796,6.279151459854014,7.132604927007299,3.025,24.72149999999999,3.8158531021897812
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,7.931300182481752,8.26286496350365,6.86327098540146,4.140000000000001,23.194999999999983,-0.33156478102189785
SEA_MM_YANGON,Myanmar,Yangon,5.709680656934307,7.544890510948906,5.875346715328467,1.0250000000000001,25.083499999999958,-1.8352098540145987
SEA_ID_JAKARTA,Indonesia,Jakarta,6.81492700729927,6.908667883211678,5.425246350364963,2.8100000000000005,19.818999999999996,-0.09374087591240876
SEA_TL_DILI,Timor-Leste,Dili,3.324183394160584,5.751596715328467,5.195871350364964,1.79,21.21249999999999,-2.4274133211678834
SEA_KH_PHNOM_PENH,Cambodia,Phnom Penh,4.540191605839416,5.4987226277372265,5.0153010948905115,1.5499999999999998,20.334999999999983,-0.9585310218978101
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,4.789908759124088,6.534625912408759,4.910593065693431,1.8800000000000003,18.43499999999998,-1.7447171532846715
SEA_VN_HANOI,Vietnam,Hanoi,5.251651459854015,6.096897810218978,4.749844890510949,0.99,21.65399999999998,-0.8452463503649635
SEA_LA_VIENTIANE,Laos,Vientiane,3.907075729927007,5.915830291970803,3.8773950729927007,0.6749999999999998,18.265499999999964,-2.0087545620437957
SEA_TH_BANGKOK,Thailand,Bangkok,4.211884124087591,4.621167883211679,3.2522764598540146,1.09,12.62699999999999,-0.40928375912408765
