entity_id,month,source_bias_train_city_month_mm,source_bias_train_city_month_std_mm,source_bias_train_city_month_n,source_bias_train_city_fallback_mm,source_bias_train_global_fallback_mm,bias_formula
SEA_KH_PHNOM_PENH,3,0.10629032258064511,3.0843645740405994,124,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,4,-0.7655,7.2609705870183925,120,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,5,-0.8692741935483871,9.165515094559439,124,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,6,4.712166666666667,31.656823847417844,120,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,7,1.2587903225806452,11.696555715164802,124,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,8,-0.9690322580645163,14.407890759199706,124,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,9,-1.5071666666666668,11.779474826955552,120,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,10,-2.7175000000000002,13.705887206076486,124,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,11,-2.6896666666666667,10.964621329364666,120,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_KH_PHNOM_PENH,12,0.17887096774193542,4.124877373822037,124,-0.30613963039014375,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,1,-0.015645161290322594,1.4342360034932307,124,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,2,0.3221238938053097,1.800155475094658,113,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,3,0.04024193548387097,4.512721938097318,124,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,4,0.45066666666666666,7.708029506920162,120,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,5,-1.6438709677419354,8.631133069563703,124,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,6,-3.7290833333333335,9.643630282990632,120,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,7,-3.826935483870968,8.948648004111844,124,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
SEA_LA_VIENTIANE,8,-4.791048387096774,11.744060101704031,124,-1.7037577002053388,-0.22088295687885007,"mean_train(nasa_power_precipitation_mm - open_meteo_precipitation_mm | entity_id, month)"
