location_name,mean_source_gap_mm,high_gap_10mm_ratio,wet_day_disagreement_ratio
Singapore,10.455164233576642,0.26322992700729925,0.15784671532846714
Bandar Seri Begawan,7.8412500000000005,0.25364963503649635,0.17791970802919707
Manila,7.132604927007299,0.19434306569343066,0.25821167883211676
Kuala Lumpur,6.86327098540146,0.22262773722627738,0.2281021897810219
Yangon,5.875346715328467,0.19525547445255476,0.11678832116788321
Jakarta,5.425246350364963,0.15875912408759124,0.15693430656934307
Dili,5.195871350364964,0.17746350364963503,0.3416970802919708
Phnom Penh,5.0153010948905115,0.15967153284671534,0.2198905109489051
Ho Chi Minh City,4.910593065693431,0.1646897810218978,0.17244525547445255
Hanoi,4.749844890510949,0.13822992700729927,0.20164233576642335
Vientiane,3.8773950729927007,0.1322992700729927,0.13047445255474452
Bangkok,3.2522764598540146,0.08987226277372262,0.1678832116788321
